#,ごい,Vocabulary,Type,Meaning
1,あ,a,Expression,Ah; oh
2,ああ,aa,Adverb,ah; yes
3,アフリカ,afurika,"Noun, Katakana",Africa
4,上がる,agaru,"Verb, Godan verb, Intransitive verb",to rise
,,あがる,,
5,挨拶,aisatsu,"Noun, Suru verb",to greet
,,あいさつ,,
6,味,aji,Noun,flavor; taste​; uniqueness; attractiveness; experience
,,あじ,,
7,アジア,ajia,"Noun, Katakana",Asia
8,赤ちゃん,akachan,Noun,baby; infant
,,あかちゃん,,
9,赤ん坊,akanbou,Noun,baby; infant
,,あかんぼう,,
10,アクセサリー,akusesarii,"Noun, Katakana",accessory
11,アメリカ,amerika,"Noun, Katakana",America
12,アナウンサー,anaunsaa,"Noun, Katakana",announcer
13,あんな,anna,Pre-noun adjectival,such
14,案内,annai,"Noun, Suru verb",to guide
,,あんない,,
15,安心,anshin,"Noun, Adjective, な-adjective, Suru verb",peace of mind
,,あんしん,,
16,安全,anzen,"Noun, Adjective, な-adjective",safety; security​
,,あんぜん,,
17,アルバイト,arubaito,"Noun, Suru verb, Katakana",part-time job
18,アルコール,arukooru,"Noun, Katakana",alcohol
19,浅い,asai,"Adjective, い-adjective",shallow
,,あさい,,
20,遊び,asobi,Noun,playing
,,あそび,,
21,集まる,atsumaru,"Verb, Godan verb, Intransitive verb",to gather; to collect; to assemble
,,あつまる,,
22,集める,atsumeru,"Verb, Ichidan verb, Transitive verb",to collect; to assemble; to gather
,,あつめる,,
23,謝る,ayamaru,"Verb, Godan verb",to apologize
,,あやまる,,
24,倍,bai,Noun,double
,,ばい,,
25,番組,bangumi,Noun,program (e.g. TV)
,,ばんぐみ,,
26,場所,basho,Noun,place
,,ばしょ,,
27,ベル,beru,"Noun, Katakana",bell
,,,,
28,美術館,bijutsukan,Noun,art gallery; art museum
,,びじゅつかん,,
29,びっくり,bikkuri,"Adverb, Suru verb",to be surprised
30,ビル,biru,"Noun, Katakana",building
31,僕,boku,Pronoun,I (used by males)
,,ぼく,,
32,貿易,boueki,"Noun, Suru verb",trade
,,ぼうえき,,
33,部長,buchou,Noun,"manager; head (chief, director) of a section or department"
,,ぶちょう,,
34,ぶどう,budou,Noun,grapes
35,文学,bungaku,Noun,literature
,,ぶんがく,,
36,文化,bunka,Noun,culture
,,ぶんか,,
37,文法,bunpou,Noun,grammar
,,ぶんぽう,,
38,ちゃん,chan,Suffix,suffix for familiar female person
39,チェック,chekku,"Noun, Suru verb, Katakana",to check
40,血,chi,Noun,blood
,,ち,,
41,力,chikara,Noun,energy; force; strength; might; power
,,ちから,,
42,地理,chiri,Noun,geography
,,ちり,,
43,中学校,chuugakkou,Noun,junior high school; middle school
,,ちゅうがっこう,,
44,注意,chuui,"Noun, Suru verb",caution
,,ちゅうい,,
45,注射,chuusha,"Noun, Suru verb",injection
,,ちゅうしゃ,,
46,駐車場,chuushajou,Noun,parking lot
,,ちゅうしゃじょう,,
47,大分,daibu,Adverb,considerably; greatly; a lot​
,,だいぶ,,
48,大学生,daigakusei,Noun,university student; college student
,,だいがくせい,,
49,大事,daiji,"Adjective, な-adjective",important; serious; crucial
,,だいじ,,
50,大体,daitai,Noun,roughly
,,だいたい,,
51,暖房,danbou,"Noun, Suru verb",heating
,,だんぼう,,
52,男性,dansei,Noun,man; male
,,だんせい,,
53,できるだけ,dekiru dake,"Adverb, Expression",as much as possible
54,電報,denpou,Noun,telegram
,,でんぽう,,
55,電灯,dentou,Noun,electric light
,,でんとう,,
56,どんどん,dondon,Adverb,rapidly; more and more
57,泥棒,dorobou,Noun,thief
,,どろぼう,,
58,動物園,doubutsuen,Noun,zoo; zoological gardens
,,どうぶつえん,,
59,道具,dougu,Noun,tool
,,どうぐ,,
60,枝,eda,Noun,branch
,,えだ,,
61,遠慮,enryo,"Noun, Suru verb",reserve; refraining
,,えんりょ,,
62,選ぶ,erabu,"Verb, Godan verb, Transitive verb",to choose
,,えらぶ,,
63,エスカレーター,esukareetaa,"Noun, Katakana",escalator
64,ファックス,fakkusu,"Noun, Suru verb, Katakana",fax
65,不便,fuben,"Noun, Adjective, な-adjective",inconvenience
,,ふべん,,
66,増える,fueru,"Verb, Ichidan verb, Intransitive verb",to increase
,,ふえる,,
67,深い,fukai,"Adjective, い-adjective",deep
,,ふかい,,
68,復習,fukushuu,"Noun, Verb, Suru verb",review (of learned material); revision
,,ふくしゅう,,
69,複雑,fukuzatsu,"Noun, Adjective, な-adjective",complexity; complication
,,ふくざつ,,
70,踏む,fumu,"Verb, Godan verb, Transitive verb",to step on
,,ふむ,,
71,船,fune,Noun,ship
,,ふね,,
72,降り出す,furidasu,"Verb, Godan verb, Intransitive verb",to start to rain
,,ふりだす,,
73,布団,futon,Noun,"Japanese bedding, futon"
,,ふとん,,
74,太る,futoru,"Verb, Godan verb, Intransitive verb",to become fat
,,ふとる,,
75,普通,futsuu,"Noun, Adverb",usually
,,ふつう,,
76,ガラス,garasu,"Noun, Katakana",a glass
77,ガソリン,gasorin,"Noun, Katakana",gasoline; petrol
78,ガソリンスタンド,gasorin sutando,"Noun, Katakana",petrol station
79,ガス,gasu,"Noun, Katakana",petrol
80,原因,genin,"Noun, Suru verb",cause
,,げんいん,,
81,下宿,geshuku,"Noun, Suru verb",lodging
,,げしゅく,,
82,技術,gijutsu,Noun,"art,technology,skill"
,,ぎじゅつ,,
83,ごちそう,gochisou,"Noun, Suru verb",a feast
84,ごみ,gomi,Noun,rubbish
85,ご覧になる,goran ni naru,"Verb, Godan verb, Expression",(respectful) to see
,,ごらんになる,,
86,ご主人,goshujin,Noun,your husband; her husband
,,ごしゅじん,,
87,ご存じ,gozonji,Noun,knowing
,,ごぞんじ,,
88,具合,guai,Noun,condition; health
,,ぐあい,,
89,葉,ha,Noun,leaves; leaf
,,は,,
90,拝見,haiken,"Noun, Suru verb",seeing; looking at​
,,はいけん,,
91,歯医者,haisha,Noun,dentist
,,はいしゃ,,
92,はっきり,hakkiri,Adverb,clearly
93,運ぶ,hakobu,"Verb, Godan verb, Transitive verb",to carry
,,はこぶ,,
94,花見,hanami,"Noun, Verb, Suru verb",cherry blossom viewing; flower viewing
,,はなみ,,
95,ハンドバッグ,handobaggu,"Noun, Katakana",handbag
96,反対,hantai,"Noun, Adjective, な-adjective, Suru verb",opposition
,,はんたい,,
97,払う,harau,"Verb, Godan verb, Transitive verb",to pay
,,はらう,,
98,発音,hatsuon,"Noun, Suru verb",pronunciation
,,はつおん,,
99,林,hayashi,Noun,woods; forest
,,はやし,,
,,,,
100,恥ずかしい,hazukashii,"Adjective, い-adjective",embarrassed
,,はずかしい,,
101,変,hen,"Noun, Adjective, な-adjective",strange; peculiar; weird
,,へん,,
102,返事,henji,"Noun, Suru verb",reply; answer; response
,,へんじ,,
103,火,hi,Noun,fire
,,ひ,,
104,酷い,hidoi,"Adjective, い-adjective",terrible; awful​
,,ひどい,,
105,冷える,hieru,"Verb, Ichidan verb, Intransitive verb",to grow cold
,,ひえる,,
106,髭,hige,Noun,beard
,,ひげ,,
107,非常に,hijou ni,Adverb,extremely
,,ひじょうに,,
108,光,hikari,Noun,light
,,ひかり,,
109,光る,hikaru,"Verb, Godan verb, Intransitive verb",to shine
,,ひかる,,
110,引き出し,hikidashi,Noun,drawer
,,ひきだし,,
