#,ごい,Vocabulary,Type,Meaning
1,浴びる,abiru,"Verb, Ichidan verb, Transitive verb","to bathe, to shower"
,,あびる,,
2,危ない,abunai,"Adjective, い-adjective",dangerous
,,あぶない,,
3,あっち,acchi,Pronoun,over there
4,あちら,achira,Pronoun,there
5,上げる,ageru,"Verb, Ichidan verb, Transitive verb",to raise; to elevate; to give
,,あげる,,
6,赤,aka,Noun,red; crimson; scarlet​
,,あか,,
7,赤い,akai,"Adjective, い-adjective",red; crimson; scarlet​
,,あかい,,
8,明るい,akarui,"Adjective, い-adjective",bright; light
,,あかるい,,
9,開ける,akeru,"Verb, Ichidan verb, Transitive verb","to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock"
,,あける,,
10,秋,aki,Noun,autumn; fall
,,あき,,
11,開く,aku,"Verb, Godan verb, Intransitive verb","to open (e.g. doors, business, etc)"
,,あく,,
12,甘い,amai,"Adjective, い-adjective",sweet; sweet-tasting; sugary; naive; indulgent
,,あまい,,
13,雨,ame,Noun,rain
,,あめ,,
14,飴,ame,Noun,candy
,,あめ,,
15,あなた,anata,Pronoun,you
16,姉,ane,Noun,older sister; elder sister​
,,あね,,
17,兄,ani,Noun,elder brother; older brother​
,,あに,,
18,あの,ano,Pre-noun adjectival,that
19,青,ao,Noun,blue; azure
,,あお,,
20,青い,aoi,"Adjective, い-adjective",blue; azure
,,あおい,,
21,アパート,apaato,"Noun, Katakana",apartment
22,洗う,arau,"Verb, Godan verb, Transitive verb",to wash
,,あらう,,
23,あれ,are,Pronoun,that
24,ある,aru,"Verb, Godan verb, Intransitive verb","to be, to have"
25,歩く,aruku,"Verb, Godan verb, Intransitive verb",to walk
,,あるく,,
26,朝,asa,Noun,morning
,,あさ,,
27,朝ご飯,asagohan,Noun,breakfast
,,あさごはん,,
28,明後日,asatte,Noun,day after tomorrow
,,あさって,,
29,足,ashi,Noun,foot; leg; paw; arm
,,あし,,
30,明日,ashita,"Noun, Temporal noun",tomorrow
,,あした,,
31,遊ぶ,asobu,"Verb, Godan verb, Intransitive verb",to play; to enjoy oneself
,,あそぶ,,
32,あそこ,asoko,Pronoun,over there
33,頭,atama,Noun,head
,,あたま,,
34,新しい,atarashii,"Adjective, い-adjective",new; novel; fresh; recent; latest
,,あたらしい,,
35,暖かい,atatakai,"Adjective, い-adjective",warm
,,あたたかい,,
36,後,ato,Noun,behind; after; remainder; left; also
,,あと,,
37,暑い,atsui,"Adjective, い-adjective",hot; sultry
,,あつい,,
38,厚い,atsui,"Adjective, い-adjective",thick
,,あつい,,
39,熱い,atsui,"Adjective, い-adjective",hot
,,あつい,,
40,会う,au,"Verb, Godan verb, Intransitive verb",to meet; to encounter; to see
,,あう,,
41,晩ご飯,bangohan,Noun,dinner; evening meal
,,ばんごはん,,
