#,語彙,Vocabulary,Type,Meaning
1,明かり,akari,Noun,light; illumination; glow; gleam
,,あかり,,
2,明ける,akeru,"Verb, Ichidan verb, Transitive verb","to dawn,to become daylight"
,,あける,,
3,明らか,akiraka,"Adjective, な-adjective",clear; obvious
,,あきらか,,
4,悪魔,akuma,Noun,devil; demon; fiend; Satan
,,あくま,,
5,暗記,anki,"Noun, Verb, Suru verb",memorization; learning by heart
,,あんき,,
6,新た,arata,"Noun, Adjective, な-adjective",new; fresh; novel
,,あらた,,
7,有らゆる,arayuru,Pre-noun adjectival,all; every​
,,あらゆる,,
8,集まり,atsumari,Noun,gathering; meeting; assembly; collection; attendance
,,あつまり,,
9,部分,bubun,Noun,portion; section; part
,,ぶぶん,,
10,分,bun,"Noun, Suffix",part; segment; share; ration
,,ぶん,,
11,文明,bunmei,Noun,civilization; culture
,,ぶんめい,,
12,分析,bunseki,"Noun, Verb, Suru verb",analysis
,,ぶんせき,,
13,分野,bunya,Noun,field; sphere; realm; division; branch
,,ぶんや,,
14,父親,chichioya,Noun,father
,,ちちおや,,
15,地平線,chiheisen,Noun,horizon (related to land)​
,,ちへいせん,,
16,地位,chii,Noun,(social) position; status
,,ちい,,
17,長期,chouki,Noun,long-term
,,ちょうき,,
18,中,chuu,"Noun, Prefix, Suffix",during; while; medium; middle
,,ちゅう,,
19,中学,chuugaku,Noun,junior high school; middle school
,,ちゅうがく,,
20,昼食,chuushoku,Noun,lunch; midday meal
,,ちゅうしょく,,
21,大部分,daibubun,Noun,most part; greater part; majority
,,だいぶぶん,,
,,,,
22,駄目,dame,"Noun, Adjective, な-adjective",no good; cannot
,,だめ,,
23,男子,danshi,Noun,youth; young man
,,だんし,,
24,出会い,deai,Noun,meeting; rendezvous; encounter
,,であい,,
25,出会う,deau,Verb,to meet (by chance); to come across; to run across; to encounter
,,であう,,
26,読書,dokusho,"Noun, Verb, Suru verb",reading
,,どくしょ,,
27,努力,doryoku,"Noun, Verb, Suru verb",effort; exertion; endeavor; hard work; striving
,,どりょく,,
28,同一,douitsu,"Adjective, な-adjective",identical; same; one and the same; equal
,,どういつ,,
