Kanji,Kana,Romaji,Type,Meaning
踏む,ふむ,fumu,V-godan,"to step on, to tread on"
～区,～く,～ku,Suf,"~ district, ~ ward, ~ borough"
すっと,すっと,sutto,Adv,"straight, quickly"
盗む,ぬすむ,nusumu,V-godan,"to steal, to rob"
大抵,たいてい,taitei,Adv,"generally, usually"
とうとう,とうとう,toutou,Adv,"finally, at last"
ガソリン,ガソリン,gasorin,N(kat),"gasoline, petrol"
鳴る,なる,naru,V-godan,"to sound, to ring"
しっかり,しっかり,shikkari,Adv,"firmly, steady"
生きる,いきる,ikiru,V-ichi,to live
苦い,にがい,nigai,い-A,bitter
沸く,わく,waku,V-godan,"to boil, to grow hot"
意見,いけん,iken,N,"opinion, view, idea"
やはり; やっぱり,やはり; やっぱり,yahari; yappari,N,"as I thought, absolutely"
漫画,まんが,manga,N,"comic, cartoon"
ステレオ,ステレオ,sutereo,N(kat),stereo
医学,いがく,igaku,N,medical science
テキスト,テキスト,tekisuto,N(kat),"text, text book"
～月,～つき,～tsuki,Suf,month
折る,おる,oru,V-godan,"to snap, to break, to bend"
～会,～かい,～kai,Suf,~ meeting
うかがう,うかがう,ukagau,V-godan,to ask
聞こえる,きこえる,kikoeru,V-ichi,"to be heard, to be audible"
僕,ぼく,boku,Pron,I
必ず,かならず,kanarazu,N,"surely, certainly"
壊す,こわす,kowasu,V-godan,"to break, to break down"
怒る,おこる,okoru,V-godan,"to get angry, to scold angrily"
床屋,とこや,tokoya,N,barber's
オートバイ,オートバイ,ootobai,N(kat),motorcycle )
運動,うんどうする,undousuru,N,exercise
止む,やむ,yamu,V-godan,"to cease, to stop"
もし,もし,moshi,N,if
表,おもて,omote,N,"surface, front, outside"
大学生,だいがくせい,daigakusei,N,college student
運転手,うんてんしゅ,untenshu,N,driver
予習,よしゅう,yoshuu,N,preparation of lessons
心配,しんぱいする,shinpaisuru,N,"worry, concern"
別,べつ,betsu,N,"distinction, different"
非常に,ひじょうに,hijouni,N,"extremely, very"
お宅,おたく,otaku,N,house
柔らかい,やわらかい,yawarakai,N,"soft, tender"
拾う,ひろう,hirou,V-godan,"to pick up, to find"
～ございます,～ございます,～gozaimasu,Suf,"to be, to exist"
気,き,ki,N,"spirit, mood"
比べる,くらべる,kuraberu,V-ichi,to compare
ほとんど,ほとんど,hotondo,N,"mostly, almost"
つもり,つもり,tsumori,N,"intention, plan"
郊外,こうがい,kougai,N,"suburb, outskirts"
だめ,だめ,dame,N,"useless, no good, hopeless"
売り場,うりば,uriba,N,place where things are sold
正月,しょうがつ,shougatsu,N,"New Year, New Year's Day"
規則,きそく,kisoku,N,"rule, regulation"
うん,うん,un,Expr,"yes, all right"
発音,はつおん,hatsuon,N,pronunciation
焼く,やく,yaku,V-godan,"to bake, to grill"
屋上,おくじょう,okujou,N,rooftop
失礼,しつれい,shitsurei,N,"discourtesy, impoliteness"
ごみ,ごみ,gomi,N,"trash, garbage"
アフリカ,アフリカ,afurika,N(kat),Africa
点,てん,ten,N,"mark, score, grade, point, dot"
一生懸命,いっしょうけんめい,isshoukenmei,Adv,"very hard, with utmost effort"
今度,こんど,kondo,N,"now, this time, near future"
機会,きかい,kikai,N,"chance, opportunity"
建てる,たてる,tateru,V-ichi,to build
複雑,ふくざつ,fukuzatsu,な-A,"complexity, complication"
彼,かれ,kare,Pron,"he, boyfriend"
いらっしゃる,いらっしゃる,irassharu,Expr,"-- honorific expression for いく, くる"
布団,ふとん,futon,N,futon
大事,だいじ,daiji,な-A,"important, valuable"
贈り物,おくりもの,okurimono,N,"a gift, a present"
泥棒,どろぼう,dorobou,N,"thief, burglar"
～製,～せい,～sei,Suf,made in ~
注意,ちゅうい,chuui,N,"caution, attention"
台風,たいふう,taifuu,N,typhoon
日,ひ,hi,N,"sun, sunshine, day"
～軒,～けん,～ken,Ctr,counter for houses
そう,そう,sou,N,"really, so, yes, right"
