Kanji,Kana,Romaji,Type,Meaning
作法,さほう,sahou,N,"manners, etiquette, propriety"
様々,さまざま,samazama,N,"varied, various"
冷ます,さます,samasu,V-godan,"to cool, to let cool"
覚ます,さます,samasu,V-godan,to awaken
冷める,さめる,sameru,V-ichi,"to become cool, to wear off"
覚める,さめる,sameru,V-ichi,"to wake, to wake up"
左右,さゆう,sayuu,N,"left and right, influence"
皿,さら,sara,N,"plate, dish"
更に,さらに,sarani,Conj,"furthermore, moreover"
去る,さる,saru,V-godan,"to leave, to go away"
猿,さる,saru,N,monkey
騒ぎ,さわぎ,sawagi,N,"uproar, disturbance"
参加,さんか,sanka,N,participation
参考,さんこう,sankou,N,"reference, consultation"
賛成,さんせい,sansei,N,"approval, agreement"
酸性,さんせい,sansei,N,acidity
酸素,さんそ,sanso,N,oxygen
氏,し,shi,N,"family name, lineage"
詩,し,shi,N,"poem, poetry"
幸せ,しあわせ,shiawase,N,"happiness, blessing"
ジーンズ,ジーンズ,jiinzu,N(kat),jeans
ジェット機,ジェットき,jettoki,N,jet plane
四角,しかく,shikaku,N,square
直に,じかに,jikani,Adv,"immediately, readily, directly"
しかも,しかも,shikamo,N,"moreover, furthermore, besides"
四季,しき,shiki,N,four seasons
直,じき,jiki,Adv,"immediately, soon, shortly"
時期,じき,jiki,N,"time, season, period"
支給,しきゅう,shikyuu,N,"payment, allowance"
至急,しきゅう,shikyuu,N,"urgent, pressing"
しきりに,しきりに,shikirini,N,"frequently, repeatedly, eagerly"
刺激,しげき,shigeki,N,"stimulus, impetus, incentive"
資源,しげん,shigen,N,resources
事件,じけん,jiken,N,"event, affair, incident"
時刻,じこく,jikoku,N,"time, hour"
自殺,じさつ,jisatsu,N,suicide
事実,じじつ,jijitsu,N,"fact, truth, reality"
支出,ししゅつ,shishutsu,N,"expenditure, expenses"
事情,じじょう,jijou,N,"circumstances, situation, reasons"
詩人,しじん,shijin,N,poet
自身,じしん,jishin,N,oneself
沈む,しずむ,shizumu,V-godan,"to sink, to feel depressed"
自然,しぜん,shizen,N,"nature, spontaneous"
思想,しそう,shisou,N,"thought, idea"
舌,した,shita,N,tongue
次第,しだい,shidai,N,"order, circumstances, immediate"
従う,したがう,shitagau,V-godan,"to abide, to obey"
したがって,したがって,shitagatte,Conj,"therefore, consequently"
親しい,したしい,shitashii,N,"intimate, close (e.g., friend)"
質,しつ,shitsu,N,"quality, nature"
失業,しつぎょう,shitsugyou,N,unemployment
湿気,しっけ,shikke,N,"moisture, humidity, dampness"
実験,じっけん,jikken,N,"lab work, experiment"
実現,じつげん,jitsugen,N,"implementation, materialization"
実行,じっこう,jikkou,N,"practice, execution (e.g."
実際,じっさい,jissai,N,"in fact, in actuality"
実施,じっし,jisshi,N,"enforcement, carry out, operation"
湿度,しつど,shitsudo,N,humidity
じっと,じっと,jitto,N,"patiently, quietly"
実に,じつに,jitsuni,N,"indeed, truly, surely"
実は,じつは,jitsuha,N,"actually, in fact"
失望,しつぼう,shitsubou,N,"disappointment, despair"
実力,じつりょく,jitsuryoku,N,"ability, force"
支店,してん,shiten,N,branch store
指導,しどう,shidou,N,"leadership, guidance, coaching"
自動,じどう,jidou,N,"automatic, self-motion"
児童,じどう,jidou,N,"children, juvenile"
品,しな,shina,N,"thing, article, goods"
支配,しはい,shihai,N,"rule, control, direction"
芝居,しばい,shibai,N,"play, drama"
しばしば,しばしば,shibashiba,Adv,"often, again and again, frequently"
芝生,しばふ,shibafu,N,lawn
支払,しはらい,shiharai,N,payment
支払う,しはらう,shiharau,V-godan,to pay
死亡,しぼう,shibou,N,death
資本,しほん,shihon,N,"funds, capital"
姉妹,しまい,shimai,N,sisters
しまった (かん),しまった (かん),shimatta (kan),N,Damn it!
自慢,じまん,jiman,N,"pride, boast"
地味,じみ,jimi,な-A,"quiet, plain, conservative"
示す,しめす,shimesu,V-godan,"to show, to indicate"
占める,しめる,shimeru,V-ichi,"to take up, to account for"
湿る,しめる,shimeru,V-ichi,"to be wet, to be damp"
下,しも,shimo,N,"under, below, beneath"
霜,しも,shimo,N,frost
借金,しゃっきん,shakkin,N,"debt, loan, liabilities"
しゃべる,しゃべる,shaberu,V-ichi,"to talk, to chat, to chatter )"
週,しゅう,shuu,N,week
州,しゅう,shuu,N,"state, province"
銃,じゅう,juu,N,gun
周囲,しゅうい,shuui,N,"surroundings, circumference"
収穫,しゅうかく,shuukaku,N,"harvest, crop, ingathering"
宗教,しゅうきょう,shuukyou,N,religion
重視,じゅうし,juushi,N,"importance, stress"
就職,しゅうしょく,shuushoku,N,finding employment
ジュース,ジュース,juusu,N(kat),"juice, soft drink, deuce"
修正,しゅうせい,shuusei,N,"amendment, correction"
重体,じゅうたい,juutai,な-A,"seriously ill, critical state"
渋滞,じゅうたい,juutai,N,"congestion (e.g., traffic), delay"
重大,じゅうだい,juudai,な-A,"serious, important"
住宅,じゅうたく,juutaku,N,"resident, housing"
集団,しゅうだん,shuudan,N,"group, mass"
集中,しゅうちゅう,shuuchuu,N,"concentration, focusing the mind"
収入,しゅうにゅう,shuunyuu,N,"income, revenue"
住民,じゅうみん,juumin,N,"inhabitants, residents"
重要,じゅうよう,juuyou,な-A,"important, essential"
修理,しゅうり,shuuri,N,"repairing, mending"
主義,しゅぎ,shugi,N,"doctrine, cause, principle"
宿泊,しゅくはく,shukuhaku,N,lodging
手術,しゅじゅつ,shujutsu,N,surgical operation
首相,しゅしょう,shushou,N,Prime Minister
手段,しゅだん,shudan,N,"means, way, measure"
主張,しゅちょう,shuchou,N,"claim, insistence, assertion"
出場,しゅつじょう,shutsujou,N,participation
出身,しゅっしん,shusshin,N,come from
出版,しゅっぱん,shuppan,N,publication
首都,しゅと,shuto,N,capital city
主婦,しゅふ,shufu,N,housewife
